gene,pValue,fdr,logFoldChange
ENSG00000004866,0.01898852044073278,0.2647948870080314,0.053086105131597006
ENSG00000004897,0.209439034922428,0.756244637216779,0.08740711573267228
ENSG00000004939,0.5855311056433746,0.893094114620783,-0.0031966846874099644
ENSG00000004948,0.8421952185091911,0.9611058855641068,0.018702119305730118
ENSG00000004961,0.055748518363551214,0.4328759635532359,0.04034769464692456
ENSG00000004975,0.3819828610863055,0.893094114620783,-0.013440067664575683
ENSG00000005001,0.6095613493008174,0.893094114620783,-0.028608842566289268
ENSG00000005007,0.671439819172948,0.893094114620783,-0.0204092139855414
ENSG00000005020,0.08497364290293385,0.5174929467701499,-0.051806555071313286
ENSG00000005022,0.3195079380947392,0.8800067598727227,-0.07180543571388327
ENSG00000005059,0.7097403221531673,0.9075323443328782,-0.03746845355672176
ENSG00000005073,0.48322182757528087,0.893094114620783,0.004725859914547398
ENSG00000005075,0.287021198154649,0.8487112294362847,-0.04395291110292839
ENSG00000005100,0.04842421436071052,0.4100815227274851,0.054236763311190615
ENSG00000005102,0.9861875654275053,1.0,0.011910255490706682
ENSG00000005108,0.31118270509998314,0.8723780264862444,0.18710703006114632
ENSG00000005156,0.05464489224382448,0.4322804665622267,0.09216189852397252
ENSG00000005175,0.56195027887719,0.893094114620783,-0.0020917459477503607
ENSG00000005187,0.0865459465615411,0.5251503867285674,0.07249772075282823
ENSG00000005189,0.5736832733038886,0.893094114620783,-0.03420740640084367
ENSG00000005194,0.02610989811320674,0.30528442090023683,0.06374677071006987
ENSG00000005206,0.024968797118528306,0.3000338689228921,-0.10261157010017505
ENSG00000005238,0.06274073974493227,0.4542626539147526,0.09095200287916518
ENSG00000005243,0.8830130239304063,0.9739989734767273,-0.023877211656999346
ENSG00000005249,0.0017793221582860649,0.08600057098382648,-0.3781114925755936
ENSG00000005302,0.5050793633376343,0.893094114620783,-0.0037562532137289167
ENSG00000005339,0.041937191514878555,0.3821326057434972,0.20150876053209377
ENSG00000005379,0.42081897260736734,0.893094114620783,0.02490402162227048
ENSG00000005381,0.00517611014376219,0.14591043906554602,0.08133662192093961
ENSG00000005421,0.0020004465998616655,0.09119806765194795,-0.262308029883503
ENSG00000005436,0.5445635952387242,0.893094114620783,0.004785401553630157
