Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000280670	1.5609411113907998	0.7981227097679402	0.3062085259031415	3.478781126450023e-4	NA	NA
ENSG00000139899	0.6594185780892501	0.6697337397415987	0.7921870405875691	0.0038705256648337177	NA	NA
ENSG00000078237	3.4888913689815824	0.6536272546154644	0.30218174530267883	8.26907855590466e-4	NA	NA
ENSG00000137965	4.093943016580106	0.6168289632663472	0.20364810598988287	9.007664227107593e-5	NA	NA
ENSG00000132530	3.5752279220979837	0.5461087343542791	0.20972283400437586	3.073008707070249e-4	NA	NA
ENSG00000138615	7.931668218842375	0.5090528082477229	0.1610467235672038	5.6755061195533675e-5	0.013142963314325792	TRUE
ENSG00000180638	1.5256914372729116	0.501910034681992	0.39497066675794007	0.003751704652062114	NA	NA
ENSG00000000971	13.2979180660175	0.4478924887798064	0.14083526268236565	5.2421046779433136e-5	0.013142963314325792	TRUE
ENSG00000229391	3.350481607098994	0.41599689154452424	0.22127049525827505	0.0015497067988790348	NA	NA
ENSG00000163993	6.60188924365638	0.41271361603474316	0.20876636991159883	0.00121555174261849	0.07597198391365562	FALSE
ENSG00000100473	3.293718691745713	0.4048379694691893	0.23604379258723052	0.0020343262191934216	NA	NA
ENSG00000108700	2.6843827815637105	0.3920834791687028	0.29072299672061147	0.0033754310984469385	NA	NA
ENSG00000102287	4.233987141262978	0.38988132338969866	0.2023162355889672	0.0014073685646647752	NA	NA
ENSG00000099290	8.1029241819075	0.3849272488656426	0.13286813428874014	1.3292723446677794e-4	0.017654398327618944	TRUE
ENSG00000175265	20.487679113977617	0.3737718638080988	0.2488643763594587	0.002507055155871228	0.1080882097183493	FALSE
ENSG00000136147	12.593231592455574	0.36908008102756373	0.10980809020035416	2.9284833404881154e-5	0.009071897932649783	TRUE
ENSG00000174652	6.6489573817238785	0.36157068894969385	0.15958427437213996	6.939068448122025e-4	0.05898208180903721	FALSE
ENSG00000185745	2.150056337104123	0.35171596471174976	0.45956995150170504	0.005145218315964085	NA	NA
ENSG00000242086	2.6807687404975096	0.34731195271932963	0.3246080547314622	0.004310033764192653	NA	NA
ENSG00000140853	8.53542686854927	0.33861110245796955	0.13837900697097794	4.574737714118768e-4	0.04226659844566253	TRUE
ENSG00000110077	8.507723453738755	0.32174834568802146	0.1556779236309364	0.0010562692975710213	0.07403796028251004	FALSE
ENSG00000120860	7.050959890149991	0.3193295265854674	0.14337207836748694	7.68948283094402e-4	0.06284673467598477	FALSE
