"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000111640",115.913056926638,-0.214478830683252,0.040630986233346,-5.27870107438416,1.30102846706827e-07,0.000276468549252007
"ENSG00000163545",8.98616835921137,-0.521414691487233,0.111232007875358,-4.68763174779249,2.76384771916531e-06,0.00293658820161314
"ENSG00000124107",23.1529148293232,-0.461085472527633,0.103653462107333,-4.4483364390683,8.65379086234874e-06,0.00459732639562277
"ENSG00000134765",41.4723263108275,-0.409269594141784,0.0909937479841221,-4.49777708039017,6.86676393887064e-06,0.00459732639562277
"ENSG00000130600",6.96366907276207,-0.781423643429365,0.179413816772103,-4.35542622908443,1.32808239748173e-05,0.00564435018929734
"ENSG00000136147",12.5932315924556,0.424725825653101,0.101634395768755,4.17895755113715,2.92848334048812e-05,0.00907189793264978
"ENSG00000183779",16.5460629129488,-0.464505123682804,0.111276056057498,-4.17434927279222,2.98838990722581e-05,0.00907189793264978
"ENSG00000000971",13.2979180660175,0.521637628642264,0.128972589741469,4.04456194675093,5.24210467794331e-05,0.0131429633143258
"ENSG00000138615",7.93166821884237,0.593876153791651,0.1475134688896,4.02591138464863,5.67550611955337e-05,0.0131429633143258
"ENSG00000180879",39.1960790648354,-0.258077664589511,0.064428538149164,-4.0056420959298,6.1849239126239e-05,0.0131429633143258
"ENSG00000100300",15.1431045552598,-0.328983119105102,0.0840296047476674,-3.91508588066081,9.03720344014e-05,0.0151875487159043
"ENSG00000102554",24.5491193421523,-0.275036686968877,0.0703707850513535,-3.90839304646335,9.29120627325908e-05,0.0151875487159043
"ENSG00000110723",9.05078346514945,-0.444207141738333,0.113171938761848,-3.92506434543899,8.67065579293969e-05,0.0151875487159043
"ENSG00000188505",81.6381679140014,-0.161125141481502,0.0418063307348856,-3.85408474384599,0.000116163358174705,0.0176319382943749
"ENSG00000099290",8.1029241819075,0.459079762177026,0.120147405249632,3.82097109149539,0.000132927234466778,0.0176543983276189
"ENSG00000149925",24.1564713372763,-0.261812622014741,0.0683830220736403,-3.82862023460736,0.000128863672786509,0.0176543983276189
"ENSG00000118689",16.1401477770337,-0.337241704387319,0.090625690282116,-3.72125942806606,0.000198231658541621,0.0247789573177026
"ENSG00000261609",8.38185151771151,-0.48278538221105,0.130791317120275,-3.6912647784339,0.000223141698502143,0.0263431171842807
"ENSG00000204538",5.6576316613929,-0.711617054272164,0.194424855956368,-3.66011357329674,0.000252103482600313,0.0281957842381929
"ENSG00000115963",13.736247878871,0.32373461076849,0.0893573625545229,3.62292038969881,0.000291295496932532,0.0309501465490815
"ENSG00000175121",18.4679511500146,-0.302717305502451,0.0850603142605589,-3.55885477421538,0.000372475407253306,0.0376909638292035
"ENSG00000130402",10.47409435834,-0.383544562418127,0.108524441567392,-3.53417678892133,0.000409047379275647,0.0395102582254887
"ENSG00000140853",8.53542686854927,0.423048856666641,0.120716060224529,3.50449522523996,0.000457473771411877,0.0422665984456625
"ENSG00000173801",25.8937560723724,-0.225503100183908,0.0659314624649827,-3.42026540521039,0.000625600680356528,0.0553917269065676
"ENSG00000174652",6.64895738172388,0.463136090305058,0.136538755011162,3.39197534258458,0.000693906844812203,0.0589820818090372
"ENSG00000120860",7.05095989014999,0.411416691718916,0.122309417167764,3.3637368343813,0.000768948283094402,0.0628467346759848
"ENSG00000143320",10.4460710305015,-0.342736905756009,0.103153566031629,-3.32258901888974,0.000891862091659971,0.0701928498065718
"ENSG00000042493",13.2379760870305,-0.304845931088344,0.0933177748103924,-3.26675096687361,0.00108789333361138,0.07403796028251
"ENSG00000084207",32.1542595927092,-0.236482232347618,0.0724832192759658,-3.26257904532713,0.00110403378874481,0.07403796028251
"ENSG00000100380",17.9756158636433,0.345901477936571,0.105046863445752,3.29283013876183,0.000991843769702569,0.07403796028251
"ENSG00000110077",8.50772345373876,0.42451149939436,0.129618123080466,3.27509370839159,0.00105626929757102,0.07403796028251
"ENSG00000151468",13.7570933647894,-0.306854257562612,0.0943859825747948,-3.25105751078504,0.00114976597144604,0.07403796028251
"ENSG00000198931",14.8328640142075,-0.289593092238717,0.0890557742443387,-3.25181713028705,0.00114669773114486,0.07403796028251
"ENSG00000163993",6.60188924365638,0.552661535519062,0.170827331158362,3.23520558315536,0.00121555174261849,0.0759719839136556
"ENSG00000143631",27.3182068418809,0.330707481821101,0.10351171973726,3.19487960069181,0.00139889185495691,0.076555998036992
"ENSG00000161016",70.880216520009,-0.165203470000963,0.0517292808684673,-3.19361621169696,0.00140502772867891,0.076555998036992
"ENSG00000163597",32.1540690985091,0.19162387039829,0.0596083401122821,3.21471576019957,0.00130573745480876,0.076555998036992
"ENSG00000186340",46.2353671146652,0.206571067543598,0.0642763669110382,3.21379501472918,0.00130993153379264,0.076555998036992
"ENSG00000188910",11.2950019752891,-0.34678028114939,0.108509530930157,-3.19585089140785,0.00139419141880045,0.076555998036992
"ENSG00000111540",19.3807247580051,-0.25654188780511,0.0811909261944099,-3.15973594377808,0.00157912183708578,0.0838908475951821
"ENSG00000110852",29.5598297407407,0.316253159338964,0.100683239148853,3.14107056956526,0.00168331466555407,0.0872449674220095
"ENSG00000066322",12.8590990317352,-0.285701316756264,0.0917740577090883,-3.11309452679863,0.00185136710555298,0.0936703595071451
"ENSG00000088002",13.9550689128298,-0.3931437282197,0.126983477780897,-3.09602268807007,0.00196135353585784,0.094724460538589
"ENSG00000122378",8.73264449088623,-0.339515494959817,0.109451205388844,-3.10198040993365,0.00192230679075564,0.094724460538589
"ENSG00000096746",14.4329351670146,0.280920866671874,0.0910471102198992,3.08544517221236,0.00203247692799481,0.0959780771553103
